"HSOLL","QREAL","LABEL"
136.8,0,"NULL"
136.95,5,"MNW"
137.35,20,"MW"
138,80
139,529.43,"HQ10"
0,834.5,"HQ50"
0,854.19,"HQ100"
0,985.6,"HQ100T1B"
0,992.7,"HQEXT"
