"ID" "IAB" "XL" "ZO" "D" "WSP" "Q" "QL" "QO"
 18293  1536     670.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18293  1535     600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18293  1534     400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18293  1533     200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18293  1532       0.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1531    2170.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1530    2000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1529    1800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1528    1600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1527    1400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1526    1200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1525    1000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1524     800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1523     600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1522     400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1521     200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1520       0.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1517    3350.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1516    3200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1515    3000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1514    2800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1513    2600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1512    2400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1511    2200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1510    2000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1509    1800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1508    1600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1507    1400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1506    1200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1505    1000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1504     800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1503     600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1502     400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1501     200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1500       0.0    130.00-NaN      -NaN      -NaN            0.00      0.00
  3715   720   15566.0    143.30      1.14    144.44     13.98      0.00      0.00
  3715   719   15525.0    143.28      1.11    144.40     13.99      0.00      0.00
  3715   718   15483.0    143.26      1.08    144.35     13.99      0.00      0.00
  3715   717   15442.0    143.25      1.05    144.30     13.99      0.00      0.00
  3715   716   15400.0    143.23      1.01    144.24     14.00      0.00      0.00
  3715   715   15359.0    143.21      0.96    144.17     14.00      0.00      0.00
  3715   714   15318.0    143.06      1.05    144.11     14.00      0.00      0.00
  3715   713   15276.0    142.90      1.17    144.07     14.01      0.00      0.00
  3715   712   15235.0    142.75      1.29    144.04     14.01      0.00      0.00
  3715   711   15193.0    142.73      1.28    144.01     14.01      0.00      0.00
  3715   710   15152.0    142.70      1.28    143.98     14.02      0.00      0.00
  3715   709   15110.0    142.68      1.27    143.95     14.02      0.00      0.00
  3715   708   15060.0    142.61      1.31    143.92     14.02      0.00      0.00
  3715   707   15010.0    142.53      1.35    143.88     14.03      0.00      0.00
  3715   706   14960.0    142.35      1.50    143.85     14.03      0.00      0.00
  3715   705   14910.0    142.44      1.39    143.83     14.03      0.00      0.00
  3715   704   14859.0    142.05      1.76    143.81     14.04      0.00      0.00
  3715   703   14830.0    141.34      2.47    143.81     14.04      0.00      0.00
  3715   702   14790.0    142.27      1.52    143.79     14.04      0.00      0.00
  3715   701   14770.0    141.77      2.02    143.79     14.04      0.00      0.00
  3715   700   14750.0    142.07      1.71    143.78     14.04      0.00      0.00
  3715   699   14710.0    142.20      1.56    143.76     14.05      0.00      0.00
  3715   698   14694.0    141.23      2.54    143.77     14.05      0.00      0.00
  3715   697   14693.0    141.23      2.54    143.77     14.05      0.00      0.00
  3715   696   14688.0    141.23      2.54    143.77     14.05      0.00      0.00
  3715   695   14685.0    141.23      2.54    143.77     14.05      0.00      0.00
  3715   694   14677.0    142.49      1.26    143.75     14.05      0.00      0.00
  3715   693   14637.0    142.74      0.97    143.71     14.05      0.00      0.00
  3715   692   14617.0    143.03      0.59    143.62     14.05      0.00      0.00
  3715   691   14588.0    141.77      1.85    143.62     14.05      0.00      0.00
  3715   690   14544.0    141.70      1.87    143.57     14.06      0.00      0.00
  3715   689   14504.0    142.43      1.10    143.53     14.06      0.00      0.00
  3715   688   14480.0    142.51      1.01    143.52     14.06      0.00      0.00
  3715   687   14450.0    142.35      1.15    143.50     14.07      0.00      0.00
  3715   686   14396.0    141.75      1.69    143.44     14.07      0.00      0.00
  3715   685   14362.0    141.50      1.94    143.44     14.08      0.00      0.00
  3715   684   14328.0    141.25      2.19    143.44     14.08      0.00      0.00
  3715   683   14304.0    141.02      2.42    143.44     14.08      0.00      0.00
