"ZEIT[H]" "K1186" "K1168" "K1115" "K1014" "K1000" "K1174" "K1170" "K1141" "K1106" "K1182" "K1156" "K1173" "K 586" "K 585" "K 460" "K 459"
 41407.021 136.522 136.086 135.323 135.027 135.018 136.228 136.117 135.604 135.268 136.504 135.840 136.174 143.138 137.787 137.241 135.486
 41407.042 136.533 136.097 135.335 135.033 135.022 136.238 136.127 135.616 135.280 136.514 135.851 136.185 143.139 137.787 137.241 135.492
 41407.062 136.546 136.110 135.349 135.038 135.027 136.252 136.141 135.630 135.294 136.526 135.865 136.198 143.139 137.787 137.241 135.503
 41407.083 136.560 136.125 135.361 135.043 135.033 136.266 136.155 135.644 135.305 136.539 135.880 136.213 143.139 137.787 137.241 135.514
 41407.104 136.574 136.138 135.372 135.048 135.038 136.280 136.169 135.657 135.316 136.552 135.893 136.226 143.139 137.788 137.241 135.523
 41407.125 136.575 136.144 135.379 135.048 135.038 136.285 136.174 135.664 135.321 136.555 135.900 136.232 143.139 137.788 137.241 135.531
 41407.146 136.560 136.137 135.376 135.043 135.033 136.276 136.167 135.660 135.318 136.543 135.895 136.224 143.138 137.788 137.241 135.533
 41407.167 136.539 136.120 135.363 135.038 135.027 136.258 136.150 135.646 135.306 136.523 135.879 136.206 143.138 137.788 137.241 135.528
 41407.187 136.513 136.098 135.348 135.033 135.022 136.235 136.127 135.627 135.292 136.500 135.858 136.183 143.138 137.788 137.241 135.517
 41407.208 136.486 136.073 135.331 135.028 135.018 136.210 136.103 135.607 135.277 136.474 135.836 136.158 143.138 137.788 137.241 135.504
 41407.229 136.458 136.049 135.314 135.022 135.012 136.184 136.078 135.586 135.259 136.448 135.813 136.133 143.138 137.788 137.241 135.491
 41407.250 136.438 136.030 135.300 135.019 135.010 136.164 136.058 135.570 135.246 136.429 135.795 136.113 143.138 137.788 137.241 135.477
 41407.271 136.430 136.021 135.296 135.019 135.010 136.155 136.050 135.564 135.242 136.421 135.788 136.104 143.138 137.788 137.241 135.468
 41407.292 136.426 136.019 135.297 135.019 135.010 136.152 136.047 135.564 135.244 136.417 135.787 136.101 143.138 137.788 137.241 135.465
 41407.312 136.422 136.017 135.296 135.019 135.010 136.150 136.045 135.563 135.243 136.414 135.785 136.099 143.138 137.787 137.241 135.466
 41407.333 136.419 136.014 135.296 135.019 135.010 136.147 136.043 135.562 135.243 136.411 135.784 136.097 143.138 137.787 137.241 135.466
 41407.354 136.415 136.012 135.295 135.019 135.010 136.144 136.040 135.560 135.242 136.408 135.782 136.094 143.138 137.787 137.241 135.465
 41407.375 136.424 136.017 135.296 135.021 135.012 136.150 136.045 135.563 135.243 136.415 135.785 136.099 143.138 137.787 137.241 135.464
 41407.396 136.447 136.031 135.302 135.025 135.015 136.167 136.060 135.572 135.250 136.436 135.797 136.115 143.138 137.787 137.241 135.467
 41407.417 136.475 136.051 135.313 135.028 135.018 136.188 136.080 135.585 135.260 136.460 135.813 136.136 143.138 137.787 137.241 135.474
 41407.437 136.504 136.073 135.327 135.032 135.022 136.212 136.103 135.602 135.274 136.487 135.832 136.160 143.138 137.787 137.241 135.484
 41407.458 136.536 136.099 135.343 135.035 135.025 136.240 136.130 135.622 135.289 136.516 135.855 136.187 143.138 137.788 137.241 135.497
 41407.479 136.570 136.128 135.360 135.039 135.028 136.270 136.158 135.644 135.304 136.547 135.881 136.216 143.138 137.788 137.241 135.510
 41407.500 136.587 136.147 135.372 135.041 135.030 136.290 136.178 135.661 135.315 136.564 135.900 136.236 143.138 137.788 137.241 135.523
 41407.521 136.584 136.150 135.376 135.041 135.030 136.292 136.181 135.665 135.317 136.562 135.904 136.238 143.138 137.788 137.241 135.531
 41407.542 136.573 136.143 135.372 135.041 135.030 136.284 136.173 135.660 135.314 136.553 135.898 136.231 143.138 137.788 137.241 135.531
 41407.562 136.558 136.132 135.366 135.040 135.030 136.272 136.162 135.652 135.309 136.540 135.888 136.219 143.138 137.788 137.241 135.527
 41407.583 136.543 136.119 135.360 135.040 135.030 136.259 136.149 135.643 135.304 136.526 135.877 136.206 143.138 137.788 137.241 135.522
 41407.604 136.528 136.107 135.355 135.040 135.030 136.245 136.137 135.634 135.299 136.512 135.866 136.193 143.138 137.788 137.241 135.517
 41407.625 136.514 136.095 135.349 135.038 135.028 136.233 136.125 135.626 135.295 136.499 135.856 136.181 143.138 137.788 137.241 135.513
 41407.646 136.501 136.085 135.343 135.035 135.025 136.222 136.114 135.618 135.289 136.487 135.847 136.170 143.138 137.788 137.241 135.508
 41407.667 136.488 136.073 135.335 135.032 135.022 136.210 136.102 135.608 135.281 136.475 135.836 136.158 143.138 137.788 137.241 135.502
 41407.687 136.474 136.060 135.325 135.028 135.018 136.196 136.090 135.597 135.272 136.462 135.824 136.145 143.138 137.788 137.241 135.495
 41407.708 136.459 136.047 135.315 135.025 135.015 136.183 136.076 135.586 135.261 136.449 135.812 136.131 143.138 137.788 137.241 135.488
 41407.729 136.445 136.034 135.304 135.021 135.012 136.169 136.063 135.575 135.250 136.435 135.800 136.118 143.138 137.788 137.241 135.479
 41407.750 136.441 136.029 135.299 135.019 135.010 136.164 136.058 135.569 135.245 136.431 135.794 136.113 143.138 137.788 137.241 135.471
 41407.771 136.451 136.034 135.301 135.020 135.010 136.170 136.063 135.573 135.247 136.439 135.798 136.118 143.138 137.788 137.241 135.468
 41407.792 136.464 136.043 135.305 135.020 135.010 136.180 136.072 135.578 135.251 136.451 135.806 136.128 143.138 137.788 137.241 135.471
 41407.812 136.476 136.052 135.307 135.020 135.010 136.190 136.082 135.583 135.253 136.462 135.813 136.138 143.138 137.788 137.241 135.474
 41407.833 136.489 136.061 135.310 135.020 135.010 136.200 136.091 135.588 135.255 136.474 135.819 136.147 143.138 137.788 137.241 135.476
 41407.854 136.502 136.070 135.312 135.020 135.010 136.210 136.100 135.593 135.257 136.485 135.827 136.157 143.138 137.788 137.241 135.479
 41407.875 136.511 136.077 135.315 135.020 135.010 136.218 136.107 135.597 135.260 136.493 135.832 136.165 143.138 137.788 137.241 135.481
 41407.896 136.516 136.081 135.317 135.020 135.010 136.222 136.112 135.600 135.262 136.498 135.836 136.169 143.138 137.788 137.241 135.484
 41407.917 136.519 136.084 135.318 135.020 135.010 136.225 136.114 135.601 135.262 136.501 135.838 136.172 143.138 137.788 137.241 135.485
 41407.937 136.522 136.087 135.319 135.020 135.010 136.228 136.117 135.603 135.263 136.504 135.840 136.175 143.138 137.788 137.241 135.486
 41407.958 136.525 136.089 135.320 135.020 135.010 136.231 136.119 135.604 135.264 136.506 135.842 136.177 143.138 137.788 137.241 135.487
 41407.979 136.529 136.091 135.321 135.021 135.010 136.233 136.122 135.606 135.265 136.509 135.844 136.180 143.138 137.788 137.241 135.487
 41408.000 136.526 136.090 135.321 135.020 135.010 136.232 136.121 135.606 135.265 136.507 135.844 136.179 143.138 137.788 137.241 135.488
 41408.021 136.516 136.084 135.319 135.020 135.010 136.225 136.114 135.602 135.263 136.499 135.839 136.172 143.138 137.788 137.241 135.488
 41408.042 136.504 136.075 135.314 135.020 135.010 136.215 136.105 135.596 135.259 136.488 135.831 136.162 143.138 137.788 137.241 135.485
 41408.062 136.491 136.065 135.310 135.020 135.010 136.204 136.095 135.589 135.255 136.476 135.823 136.151 143.138 137.788 137.241 135.481
 41408.083 136.478 136.056 135.307 135.020 135.010 136.194 136.085 135.584 135.252 136.465 135.815 136.142 143.138 137.788 137.241 135.478
 41408.104 136.467 136.047 135.305 135.020 135.010 136.185 136.077 135.580 135.250 136.454 135.809 136.133 143.138 137.788 137.241 135.475
 41408.125 136.465 136.045 135.304 135.020 135.010 136.182 136.074 135.578 135.250 136.452 135.806 136.130 143.138 137.788 137.241 135.473
 41408.146 136.474 136.050 135.306 135.020 135.010 136.188 136.079 135.581 135.252 136.460 135.811 136.135 143.138 137.788 137.241 135.473
 41408.167 136.485 136.058 135.309 135.020 135.010 136.197 136.088 135.586 135.254 136.470 135.817 136.144 143.138 137.788 137.241 135.475
 41408.187 136.497 136.067 135.311 135.020 135.010 136.206 136.097 135.591 135.257 136.481 135.824 136.153 143.138 137.788 137.241 135.478
 41408.208 136.509 136.075 135.314 135.020 135.010 136.216 136.105 135.596 135.259 136.491 135.831 136.163 143.138 137.788 137.241 135.480
 41408.229 136.521 136.084 135.318 135.021 135.010 136.226 136.114 135.601 135.262 136.502 135.838 136.172 143.138 137.788 137.241 135.483
