"IAB","ITYPE","WIDTH","HEIT","ZTR","ZTL","XL","ZO","RNI","DZERO","HZERO","QZERO","ZS","CKS","HR0","HR1","RNV1","HR2","RNV2","HR3","RNV3","HR4","RNV4","HR5","RNV5","HR6","RNV6","HR7","RNV7","SF","X","Y","ID","ZSHIFT"                                                                                     
475,4,0.00,5.00,0.00,0.00,29225.0,112.42,0.0400,2.588,115.008,26.649,2.34,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00199584,3473314.88,5446723.00,10488,0.00
587,4,0.00,5.00,0.00,0.00,29210.0,112.05,0.0400,2.939,114.989,26.649,2.59,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00167590,3473302.83,5446731.93,10488,0.00
474,4,0.00,5.00,0.00,0.00,29195.0,111.74,0.0400,3.214,114.954,26.649,3.04,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00202075,3473290.78,5446740.86,10488,0.00
473,5,0.00,5.00,0.00,0.00,29162.0,111.93,0.0400,2.958,114.888,26.649,2.47,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00192668,3473264.26,5446760.50,10488,0.00
586,4,0.00,5.00,0.00,0.00,29148.0,112.01,0.0400,2.849,114.859,26.649,2.72,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00191469,3473253.08,5446768.92,10488,0.00
472,5,0.00,5.00,0.00,0.00,29128.0,111.88,0.0400,2.955,114.837,26.649,2.28,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00157516,3473237.40,5446781.35,10488,0.00
471,5,0.00,5.00,0.00,0.00,29100.0,111.70,0.0400,3.112,114.814,26.649,2.17,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00097501,3473215.46,5446798.74,10488,0.00
585,4,0.00,5.00,0.00,0.00,29092.0,111.65,0.0400,3.159,114.809,26.649,2.58,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00085510,3473209.19,5446803.71,10488,0.00
470,5,0.00,5.00,0.00,0.00,29072.0,111.65,0.0400,3.140,114.786,26.649,2.28,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00089341,3473192.89,5446815.17,10488,0.00
469,5,0.00,5.00,0.00,0.00,29058.0,111.64,0.0400,3.126,114.768,26.649,2.46,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00090797,3473180.50,5446821.68,10488,0.00
