"IAB","ITYPE","WIDTH","HEIT","ZTR","ZTL","XL","ZO","RNI","DZERO","HZERO","QZERO","ZS","CKS","HR0","HR1","RNV1","HR2","RNV2","HR3","RNV3","HR4","RNV4","HR5","RNV5","HR6","RNV6","HR7","RNV7","SF","X","Y","ID","ZSHIFT"                                                                                     
600,4,0.00,5.00,0.00,0.00,29388.0,114.01,0.0339,1.985,115.995,26.720,1.69,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00497199,3473409.76,5446591.47,10488,0.00
599,4,0.00,5.00,0.00,0.00,29352.0,113.89,0.0470,2.001,115.891,26.720,2.61,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.05774587,3473390.83,5446622.08,10488,0.00
598,4,0.00,5.00,0.00,0.00,29350.0,113.86,0.0467,2.002,115.862,26.720,2.64,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.04116500,3473389.88,5446623.85,10488,0.00
597,9,0.00,5.00,0.00,0.00,29349.0,113.86,0.0463,1.901,115.761,26.720,2.64,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.05449595,3473389.41,5446624.73,10488,0.00
596,9,0.00,5.00,0.00,0.00,29339.0,113.86,0.0336,1.881,115.741,26.720,2.57,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00840863,3473384.68,5446633.54,10488,0.00
595,4,0.00,5.00,0.00,0.00,29338.0,113.86,0.0428,1.920,115.780,26.720,2.39,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.02319196,3473384.21,5446634.42,10488,0.00
480,4,0.00,5.00,0.00,0.00,29328.0,113.87,0.0302,1.774,115.644,26.720,1.76,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00794527,3473379.12,5446643.00,10488,0.00
594,4,0.00,5.00,0.00,0.00,29320.0,113.77,0.0283,1.833,115.603,26.720,1.80,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00505032,3473374.29,5446649.38,10488,0.00
9480,5,0.00,5.00,0.00,0.00,29315.0,113.73,0.0300,1.848,115.577,26.720,1.84,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00593920,3473371.28,5446653.37,10488,0.00
593,4,0.00,5.00,0.00,0.00,29304.0,113.64,0.0311,1.883,115.523,26.720,1.95,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00634674,3473364.64,5446662.14,10488,0.00
