"ID","KNO","TYP","STAT","SOHL","UF_L","UF_R","WSP","Q","V","AVOL","I1000","HEL","HGR","HWSPORI","HDECKDF","HSOHLOF","KS","B_WSP","FROUDE","IT","TIME","X","Y"
10488,583,9,29043.0,111.64,115.61,115.52,114.74,26.65,1.10,0.0,1.870,114.80,113.13,114.74,3047.87,111.64,25.00,3.10,0.13,1441,60.042,3473166.67,5446827.42
10488,582,9,29042.0,111.64,115.61,115.52,114.74,26.65,1.10,0.0,1.864,114.80,113.13,114.74,3047.87,111.64,25.00,3.16,0.13,1441,60.042,3473165.73,5446827.77
10488,581,4,29041.0,111.64,115.01,114.92,114.75,26.65,1.04,0.0,0.916,114.80,113.13,114.75,3047.87,111.64,25.00,13.79,0.24,1441,60.042,3473164.79,5446828.11
10488,467,4,29040.0,111.69,115.70,115.70,114.72,26.65,1.23,0.0,2.138,114.79,113.40,114.72,3047.87,111.69,25.00,4.16,0.17,1441,60.042,3473163.85,5446828.46
10488,466,5,29027.0,111.70,115.20,115.19,114.71,26.65,1.12,0.0,1.681,114.78,113.31,114.71,3047.87,111.70,25.00,12.02,0.25,1441,60.042,3473151.66,5446832.96
10488,580,4,29011.0,111.72,114.59,114.56,114.70,26.65,1.03,0.0,1.323,114.76,113.22,114.70,3047.87,111.72,25.00,20.48,0.29,1441,60.042,3473135.74,5446833.68
10488,465,5,29003.0,111.68,114.56,114.54,114.69,26.65,1.02,0.0,1.271,114.74,113.20,114.69,3047.87,111.68,25.00,19.35,0.28,1441,60.042,3473127.79,5446832.85
10488,464,4,28986.0,111.58,114.50,114.51,114.67,26.65,1.03,0.0,1.070,114.72,113.16,114.67,3047.87,111.58,25.00,15.80,0.26,1441,60.042,3473112.13,5446826.24
10488,579,4,28980.0,111.36,114.39,114.53,114.66,26.65,1.06,0.0,1.185,114.71,113.04,114.66,3047.87,111.36,25.00,16.19,0.27,1441,60.042,3473106.17,5446825.78
10488,463,5,28971.0,111.48,114.63,114.47,114.65,26.65,1.03,0.0,1.024,114.70,112.97,114.65,3047.87,111.48,25.00,15.42,0.25,1441,60.042,3473097.18,5446825.69
10488,910,5,28968.0,111.51,114.71,114.45,114.65,26.65,1.02,0.0,0.963,114.70,112.96,114.65,3047.87,111.51,25.00,15.12,0.25,1441,60.042,3473094.23,5446826.04
10488,909,5,28964.0,111.57,114.82,114.43,114.64,26.65,1.01,0.0,0.878,114.70,112.95,114.64,3047.87,111.57,25.00,14.57,0.24,1441,60.042,3473090.58,5446827.66
10488,908,5,28961.0,111.60,114.90,114.41,114.64,26.65,1.00,0.0,0.815,114.69,112.94,114.64,3047.87,111.60,25.00,14.10,0.23,1441,60.042,3473087.84,5446828.88
10488,907,5,28956.0,111.67,115.03,114.38,114.64,26.65,0.98,0.0,0.735,114.69,112.94,114.64,3047.87,111.67,25.00,13.64,0.22,1441,60.042,3473083.27,5446830.91
10488,3423,4,28952.0,111.72,115.14,114.35,114.64,26.65,0.96,0.0,0.688,114.69,112.95,114.64,3047.87,111.72,25.00,13.53,0.21,1441,60.042,3473079.73,5446832.76
10488,578,4,28950.0,111.78,115.17,114.99,114.64,26.65,0.99,0.0,0.788,114.68,113.09,114.64,3047.87,111.78,25.00,14.17,0.23,1441,60.042,3473078.00,5446833.77
10488,577,9,28949.0,111.78,115.17,115.06,114.53,26.65,1.81,0.0,0.424,114.65,113.20,114.53,3047.87,111.78,100.00,0.10,0.05,1441,60.042,3473077.14,5446834.28
10488,576,9,28936.0,111.78,115.44,115.06,114.48,26.65,1.81,0.0,6.738,114.68,113.20,114.48,3047.87,111.78,25.00,0.10,0.05,1441,60.042,3473065.95,5446840.89
10488,423,4,28934.0,111.72,115.14,114.35,114.58,26.65,0.99,0.0,0.748,114.68,112.95,114.58,3047.87,111.72,25.00,13.45,0.22,1441,60.042,3473064.22,5446841.91
10488,905,5,28933.0,111.75,115.22,114.67,114.58,26.65,1.00,0.0,0.802,114.63,113.02,114.58,3047.87,111.75,25.00,13.75,0.23,1441,60.042,3473063.36,5446842.42
10488,575,4,28932.0,111.78,115.31,114.99,114.58,26.65,1.02,0.0,0.863,114.63,113.09,114.58,3047.87,111.78,25.00,14.02,0.24,1441,60.042,3473062.50,5446842.93
10488,904,5,28930.0,111.75,115.28,114.99,114.57,26.65,1.03,0.0,0.886,114.63,113.06,114.57,3047.87,111.75,25.00,13.84,0.24,1441,60.042,3473060.78,5446843.94
10488,903,5,28925.0,111.68,115.22,114.98,114.57,26.65,1.06,0.0,0.965,114.62,112.98,114.57,3047.87,111.68,25.00,13.57,0.25,1441,60.042,3473056.48,5446846.49
10488,902,5,28920.0,111.61,115.15,114.97,114.56,26.65,1.09,0.0,1.108,114.62,112.90,114.56,3047.87,111.61,25.00,14.12,0.26,1441,60.042,3473052.04,5446848.73
10488,574,4,28919.0,111.60,115.14,114.97,114.56,26.65,1.09,0.0,1.147,114.62,112.88,114.56,3047.87,111.60,25.00,14.36,0.27,1441,60.042,3473051.08,5446849.01
10488,901,5,28916.0,111.59,115.13,114.97,114.55,26.65,1.08,0.0,1.134,114.61,112.88,114.55,3047.87,111.59,25.00,14.58,0.27,1441,60.042,3473048.21,5446849.87
10488,9423,5,28885.0,111.49,115.05,114.98,114.53,26.65,1.00,0.0,0.954,114.59,112.83,114.53,3047.87,111.49,25.00,15.79,0.25,1441,60.042,3473019.57,5446861.69
10488,573,4,28864.0,111.42,115.00,114.99,114.52,26.65,0.95,0.0,0.793,114.57,112.79,114.52,3047.87,111.42,25.00,15.54,0.23,1441,60.042,3473001.40,5446872.15
10488,8423,5,28845.0,111.39,115.05,114.98,114.51,26.65,0.89,0.0,0.692,114.55,112.81,114.51,3047.87,111.39,25.00,16.86,0.21,1441,60.042,3472984.78,5446881.36
10488,572,4,28814.0,111.33,115.14,114.97,114.50,26.65,0.80,0.0,0.558,114.53,112.84,114.50,3047.87,111.33,25.00,19.14,0.19,1441,60.042,3472959.60,5446899.17
10488,422,4,28796.0,111.26,115.05,114.96,114.48,26.65,0.85,0.0,0.646,114.52,112.82,114.48,3047.87,111.26,25.00,18.05,0.21,1441,60.042,3472948.79,5446913.41
10488,9422,5,28740.0,111.25,114.06,114.89,114.43,26.67,0.99,0.0,0.794,114.48,112.72,114.43,3047.87,111.25,25.00,13.66,0.22,1441,60.042,3472929.35,5446965.86
10488,8422,5,28738.0,111.25,114.02,114.89,114.43,26.67,0.99,-4.1,0.800,114.49,112.72,114.43,3047.87,111.25,25.00,13.50,0.22,1441,60.042,3472928.78,5446967.78
10488,7422,5,28730.0,111.25,113.88,114.88,114.45,22.57,0.84,-3.2,0.565,114.50,112.58,114.45,3047.87,111.25,25.00,12.95,0.19,1441,60.042,3472926.51,5446975.45
10488,571,4,28726.0,111.25,113.81,114.87,114.47,19.39,0.73,-5.8,0.411,114.51,112.47,114.47,3047.87,111.25,25.00,12.69,0.16,1441,60.042,3472925.51,5446979.32
10488,6422,5,28720.0,111.15,114.55,114.76,114.49,13.63,0.58,-1.1,0.267,114.51,112.15,114.49,3047.87,111.15,25.00,10.25,0.12,1441,60.042,3472924.26,5446985.18
10488,5422,5,28719.0,111.13,114.67,114.75,114.49,12.58,0.55,0.0,0.241,114.51,112.08,114.49,3047.87,111.13,25.00,9.83,0.12,1441,60.042,3472924.05,5446986.16
10488,4422,5,28718.0,111.12,114.80,114.73,114.49,12.58,0.57,0.0,0.258,114.51,112.06,114.49,3047.87,111.12,25.00,9.40,0.12,1441,60.042,3472923.84,5446987.14
10488,570,4,28717.0,111.10,114.92,114.71,114.49,12.58,0.59,0.0,0.277,114.51,112.04,114.49,3047.87,111.10,25.00,8.97,0.12,1441,60.042,3472923.63,5446988.12
10488,3421,4,28716.0,111.11,115.87,114.81,114.48,12.58,0.76,0.0,0.572,114.50,112.02,114.48,3047.87,111.11,25.00,5.00,0.13,1441,60.042,3472923.34,5446989.06
10488,2421,4,28715.0,111.11,116.57,116.57,114.47,12.58,0.76,0.0,0.576,114.50,112.01,114.47,3047.87,111.11,25.00,5.00,0.13,1441,60.042,3472922.84,5446989.93
10488,1421,2,28714.0,111.11,116.57,116.57,114.47,12.58,0.84,0.0,1.226,114.22,0.00,114.47,3047.87,111.11,25.00,0.03,0.01,1441,60.042,3472922.34,5446990.80
10488,421,2,28713.0,111.11,114.81,114.81,113.38,12.58,1.11,0.0,1.247,113.24,0.00,113.38,3047.87,111.11,28.01,5.00,0.24,1441,60.042,3472921.84,5446991.66
10488,566,4,28712.0,110.96,114.92,114.84,113.41,12.58,0.80,0.0,0.494,113.43,111.94,113.41,3047.87,110.96,28.01,7.58,0.18,1441,60.042,3472921.34,5446992.53
10488,9421,5,28707.0,111.09,114.72,114.52,113.40,12.58,0.86,0.0,0.706,113.43,112.10,113.40,3047.87,111.09,28.01,9.40,0.22,1441,60.042,3472918.84,5446996.86
10488,8421,5,28701.0,111.26,114.47,114.15,113.38,12.58,0.99,0.0,1.000,113.42,112.29,113.38,3047.87,111.26,28.01,9.04,0.27,1441,60.042,3472915.84,5447002.06
10488,565,4,28696.0,111.39,114.27,113.83,113.36,12.58,1.14,0.0,1.457,113.43,112.45,113.36,3047.87,111.39,28.01,8.64,0.32,1441,60.042,3472912.93,5447006.10
10488,564,4,28694.0,111.45,114.27,114.06,113.37,12.58,1.00,0.0,1.092,113.43,112.38,113.37,3047.87,111.45,28.01,10.10,0.29,1441,60.042,3472911.69,5447007.68
10488,563,9,28693.0,111.45,114.27,114.12,113.34,12.58,1.22,0.0,3.030,113.42,112.38,113.34,3047.87,111.45,28.01,0.50,0.09,1441,60.042,3472911.07,5447008.46
10488,562,9,28682.0,111.45,114.27,114.12,113.34,12.58,1.22,0.0,3.027,113.42,112.38,113.34,3047.87,111.45,28.01,0.51,0.09,1441,60.042,3472904.28,5447017.12
10488,420,4,28680.0,111.43,114.27,113.84,113.36,12.58,1.03,0.0,1.129,113.42,112.37,113.36,3047.87,111.43,28.01,8.92,0.28,1441,60.042,3472903.05,5447018.69
10488,561,4,28678.0,111.45,114.27,114.06,113.36,12.72,1.02,0.0,1.133,113.41,112.39,113.36,3047.87,111.45,28.01,9.97,0.29,1441,60.042,3472901.81,5447020.26
10488,419,4,28662.0,111.04,114.09,114.28,113.37,12.72,0.78,0.0,0.551,113.41,112.01,113.37,3047.87,111.04,28.01,11.14,0.21,1441,60.042,3472893.64,5447033.97
10488,560,4,28638.0,110.95,114.07,114.25,113.35,12.72,0.82,0.0,0.692,113.38,112.02,113.35,3047.87,110.95,28.01,11.33,0.22,1441,60.042,3472886.66,5447056.79
10488,559,4,28616.0,110.96,114.05,114.18,113.32,12.72,0.91,0.0,0.881,113.36,112.06,113.32,3047.87,110.96,28.01,10.70,0.25,1441,60.042,3472887.35,5447078.69
10488,558,4,28564.0,111.07,114.11,114.07,113.29,12.72,0.79,0.0,0.622,113.33,111.99,113.29,3047.87,111.07,28.01,11.73,0.22,1441,60.042,3472903.86,5447128.00
10488,557,4,28525.0,111.09,114.10,113.94,113.27,12.72,0.77,0.0,0.694,113.30,111.94,113.27,3047.87,111.09,28.01,14.13,0.23,1441,60.042,3472917.25,5447164.62
10488,418,4,28516.0,111.12,114.10,114.09,113.26,12.72,0.81,0.0,0.623,113.29,112.01,113.26,3047.87,111.12,28.01,10.77,0.21,1441,60.042,3472920.16,5447173.14
10488,556,4,28487.0,111.17,114.11,113.87,113.24,12.99,0.79,0.0,0.552,113.28,111.96,113.24,3047.87,111.17,28.01,10.83,0.20,1441,60.042,3472929.53,5447200.59
10488,555,4,28455.0,111.00,114.10,113.86,113.22,12.99,0.83,0.0,0.636,113.26,111.97,113.22,3047.87,111.00,28.01,10.79,0.22,1441,60.042,3472940.57,5447230.61
10488,554,4,28384.0,111.13,114.15,114.17,113.17,12.99,0.85,0.0,0.720,113.21,112.03,113.17,3047.87,111.13,28.01,11.36,0.23,1441,60.042,3472971.11,5447294.48
10488,553,4,28382.0,111.09,114.14,114.17,113.18,12.99,0.77,0.0,0.546,113.21,111.99,113.18,3047.87,111.09,28.01,11.82,0.21,1441,60.042,3472972.11,5447296.22
10488,552,9,28381.0,111.09,114.17,114.19,113.16,12.99,0.93,0.0,0.775,113.20,112.01,113.16,3047.87,111.09,28.01,7.67,0.22,1441,60.042,3472972.61,5447297.08
10488,551,9,28372.0,111.09,114.17,114.19,113.16,12.99,0.93,0.0,0.784,113.21,112.01,113.16,3047.87,111.09,28.01,7.67,0.22,1441,60.042,3472977.11,5447304.88
10488,417,4,28371.0,111.13,114.10,114.13,113.17,12.99,0.75,0.0,0.520,113.21,111.90,113.17,3047.87,111.13,28.01,11.88,0.20,1441,60.042,3472977.61,5447305.75
10488,550,4,28370.0,111.09,114.14,114.17,113.17,12.99,0.78,0.0,0.556,113.20,111.99,113.17,3047.87,111.09,28.01,11.79,0.21,1441,60.042,3472978.11,5447306.61
10488,549,4,28321.0,111.02,114.14,114.83,113.13,12.99,0.88,0.0,0.759,113.16,111.95,113.13,3047.87,111.02,28.01,10.49,0.24,1441,60.042,3472993.60,5447352.98
10488,416,4,28306.0,111.11,114.12,114.87,113.10,12.99,0.98,0.0,1.116,113.15,112.03,113.10,3047.87,111.11,28.01,10.69,0.28,1441,60.042,3472997.40,5447367.48
10488,548,4,28263.0,111.10,114.17,114.54,113.04,13.02,1.07,0.0,1.252,113.10,112.05,113.04,3047.87,111.10,28.01,9.57,0.30,1441,60.042,3473008.32,5447409.08
10488,547,4,28199.0,110.92,114.14,114.59,112.98,13.02,1.02,0.0,1.026,113.03,111.89,112.98,3047.87,110.92,28.01,8.97,0.27,1441,60.042,3473028.74,5447469.69
10488,415,4,28161.0,110.87,114.12,114.63,112.94,13.02,0.96,0.0,0.945,112.99,111.75,112.94,3047.87,110.87,28.01,9.62,0.26,1441,60.042,3473042.80,5447504.98
10488,546,4,28152.0,110.88,114.08,114.80,112.93,13.18,1.04,0.0,1.076,112.98,111.88,112.93,3047.87,110.88,28.01,9.06,0.28,1441,60.042,3473046.61,5447513.13
10488,545,4,28081.0,110.76,113.99,115.32,112.86,13.18,0.99,0.0,0.952,112.91,111.74,112.86,3047.87,110.76,28.01,9.41,0.26,1441,60.042,3473069.77,5447579.91
10488,3414,4,28027.0,111.08,114.84,115.30,112.79,13.18,1.05,0.0,1.222,112.85,111.93,112.79,3047.87,111.08,28.01,10.17,0.30,1441,60.042,3473079.28,5447633.06
10488,544,4,28026.0,111.19,114.88,115.36,112.79,13.18,1.09,0.0,1.365,112.85,111.98,112.79,3047.87,111.19,28.01,10.10,0.32,1441,60.042,3473079.48,5447634.04
