"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    29.320   118.170    48.140    14.840     0.000    20.754     2.320       594
    29.320   118.270    49.624    14.840     0.000    20.954     2.368       594
    29.320   118.370    51.108    14.840     0.000    21.154     2.416       594
    29.320   118.470    52.592    14.840     0.000    21.354     2.463       594
    29.320   118.570    54.076    14.840     0.000    21.554     2.509       594
    29.320   118.670    55.560    14.840     0.000    21.754     2.554       594
    29.320   118.770    57.044    14.840     0.000    21.954     2.598       594
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    29.304   113.740     0.155     3.055     0.000     3.068     0.050       593
    29.304   113.840     0.494     3.558     2.288     3.627     0.136       593
    29.304   113.940     0.864     3.849     2.910     3.981     0.217       593
    29.304   114.040     1.263     4.140     2.910     4.334     0.292       593
    29.304   114.140     1.692     4.431     2.910     4.687     0.361       593
    29.304   114.240     2.148     4.677     2.464     5.007     0.429       593
    29.304   114.340     2.627     4.919     2.414     5.323     0.494       593
    29.304   114.440     3.139     5.327     4.079     5.781     0.543       593
    29.304   114.540     3.693     5.752     4.253     6.254     0.590       593
    29.304   114.640     4.289     6.164     4.116     6.715     0.639       593
    29.304   114.740     4.921     6.466     3.021     7.077     0.695       593
    29.304   114.840     5.582     6.768     3.021     7.439     0.750       593
    29.304   114.940     6.274     7.070     3.020     7.802     0.804       593
    29.304   115.040     6.996     7.372     3.021     8.164     0.857       593
    29.304   115.140     7.748     7.674     3.021     8.526     0.909       593
    29.304   115.240     8.531     7.976     3.021     8.889     0.960       593
    29.304   115.340     9.344     8.278     3.021     9.251     1.010       593
    29.304   115.440    10.186     8.580     3.020     9.613     1.060       593
    29.304   115.540    11.110    11.943    33.635    11.943     0.930       593
    29.304   115.640    12.351    12.505     2.344    13.695     0.902       593
    29.304   115.740    13.606    12.550     0.446    13.919     0.977       593
    29.304   115.840    14.861    12.550     0.000    14.119     1.053       593
    29.304   115.940    16.116    12.550     0.000    14.319     1.125       593
    29.304   116.040    17.371    12.550     0.000    14.519     1.196       593
    29.304   116.140    18.626    12.550     0.000    14.719     1.265       593
    29.304   116.240    19.881    12.550     0.000    14.919     1.333       593
    29.304   116.340    21.136    12.550     0.000    15.119     1.398       593
    29.304   116.440    22.391    12.550     0.000    15.319     1.462       593
    29.304   116.540    23.646    12.550     0.000    15.519     1.524       593
    29.304   116.640    24.901    12.550     0.000    15.719     1.584       593
    29.304   116.740    26.156    12.550     0.000    15.919     1.643       593
    29.304   116.840    27.411    12.550     0.000    16.119     1.701       593
    29.304   116.940    28.666    12.550     0.000    16.319     1.757       593
    29.304   117.040    29.921    12.550     0.000    16.519     1.811       593
    29.304   117.140    31.176    12.550     0.000    16.719     1.865       593
    29.304   117.240    32.431    12.550     0.000    16.919     1.917       593
    29.304   117.340    33.686    12.550     0.000    17.119     1.968       593
    29.304   117.440    34.941    12.550     0.000    17.319     2.017       593
    29.304   117.540    36.196    12.550     0.000    17.519     2.066       593
    29.304   117.640    37.451    12.550     0.000    17.719     2.114       593
    29.304   117.740    38.706    12.550     0.000    17.919     2.160       593
    29.304   117.840    39.961    12.550     0.000    18.119     2.205       593
    29.304   117.940    41.216    12.550     0.000    18.319     2.250       593
