"ZEIT[H]","Q_gesamt","Q_Kraft","Q_Wehr"
41410.417,1555.81,1500,55.81
41410.437,1565.41,1500,65.41
41410.458,1572.68,1500,72.68
41410.479,1579.21,1500,79.21
41410.5,1571,1500,71
41410.521,1556.17,1500,56.17
41410.542,1550.59,1500,50.59
41410.562,1547.1,1500,47.1
41410.583,1543.47,1500,43.47
41410.604,1540.13,1500,40.13
41410.625,1550.17,1500,50.17
41410.646,1565.57,1500,65.57
41410.667,1569.38,1500,69.38
41410.687,1565.36,1500,65.36
41410.708,1556.13,1500,56.13
41410.729,1546.35,1500,46.35
41410.75,1528.98,1500,28.98
41410.771,1517.65,1500,17.65
41410.792,1523.79,1500,23.79
41410.812,1533,1500,33
41410.833,1541.12,1500,41.12
41410.854,1547.58,1500,47.58
41410.875,1556.66,1500,56.66
41410.896,1564.56,1500,64.56
41410.917,1565.55,1500,65.55
41410.937,1562.91,1500,62.91
41410.958,1559.5,1500,59.5
41410.979,1556.39,1500,56.39
41411,1564.01,1500,64.01
41411.021,1573.97,1500,73.97
41411.042,1570.26,1500,70.26
41411.062,1554.94,1500,54.94
41411.083,1534.06,1500,34.06
41411.104,1516.71,1500,16.71
41411.125,1496.32,1481.32,15
41411.146,1483.51,1468.51,15
41411.167,1488.19,1473.19,15
41411.187,1496.28,1481.28,15
41411.208,1503.31,1488.31,15
41411.229,1509.72,1494.72,15
41411.25,1511.7,1496.7,15
41411.271,1513.8,1498.8,15
41411.292,1520.64,1500,20.64
41411.312,1528.17,1500,28.17
41411.333,1535.23,1500,35.23
41411.354,1541.37,1500,41.37
41411.375,1564.92,1500,64.92
41411.396,1596.76,1500,96.76
41411.417,1614.69,1500,114.69
41411.437,1625.87,1500,125.87
41411.458,1629.67,1500,129.67
41411.479,1626.02,1500,126.02
41411.5,1617.81,1500,117.81
41411.521,1611.45,1500,111.45
41411.542,1610.51,1500,110.51
41411.562,1609.71,1500,109.71
41411.583,1607.96,1500,107.96
41411.604,1606.23,1500,106.23
41411.625,1612.45,1500,112.45
41411.646,1619.71,1500,119.71
41411.667,1613.68,1500,113.68
41411.687,1597.65,1500,97.65
41411.708,1579.57,1500,79.57
41411.729,1564.69,1500,64.69
41411.75,1551.99,1500,51.99
41411.771,1548.27,1500,48.27
41411.792,1557.02,1500,57.02
41411.812,1568.35,1500,68.35
41411.833,1576.92,1500,76.92
41411.854,1585.25,1500,85.25
41411.875,1588.65,1500,88.65
41411.896,1584.67,1500,84.67
41411.917,1580.19,1500,80.19
41411.937,1575.42,1500,75.42
41411.958,1570.77,1500,70.77
41411.979,1566.86,1500,66.86
41412,1573.78,1500,73.78
41412.021,1587.89,1500,87.89
41412.042,1595.25,1500,95.25
41412.062,1598.19,1500,98.19
41412.083,1597.83,1500,97.83
41412.104,1595.83,1500,95.83
41412.125,1592.39,1500,92.39
