"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
     1.374   117.045     8.027    35.862    25.807    35.908     0.224      1213
     1.374   117.333    25.334    80.451   155.036    80.523     0.315      1213
     1.374   117.620    50.782    98.374    62.316    98.456     0.516      1213
     1.374   117.908    84.872   142.340   152.865   142.437     0.596      1213
     1.374   118.196   129.791   166.589    84.310   166.727     0.778      1213
     1.374   118.483   178.244   170.288    12.864   170.471     1.046      1213
     1.374   118.771   227.642   173.159     9.982   173.399     1.313      1213
     1.374   119.058   277.816   175.676     8.749   175.981     1.579      1213
     1.374   119.346   328.684   178.031     8.189   178.407     1.842      1213
     1.374   119.634   380.842   185.635    26.440   186.105     2.046      1213
     1.374   119.921   437.711   238.878   185.125   239.463     1.828      1213
     1.374   120.209   517.211   291.206   181.939   291.907     1.772      1213
     1.374   120.497   602.161   299.237    27.922   300.061     2.007      1213
     1.374   120.784   689.986   313.685    50.237   314.620     2.193      1213
     1.374   121.072   780.845   316.822    10.907   317.853     2.457      1213
     1.374   121.359   872.260   318.930     7.327   320.041     2.725      1213
     1.374   121.647   964.345   321.439     8.724   322.620     2.989      1213
     1.374   121.935  1057.182   324.166     9.481   325.412     3.249      1213
     1.374   122.222  1150.817   326.981     9.787   328.288     3.506      1213
     1.374   122.510  1245.279   329.925    10.238   331.290     3.759      1213
     1.374   122.797  1340.612   333.030    10.796   334.449     4.008      1213
     1.374   123.085  1436.852   336.211    11.061   337.682     4.255      1213
     1.374   123.373  1533.997   339.296    10.724   340.821     4.501      1213
     1.374   123.660  1632.006   342.249    10.269   343.832     4.747      1213
     1.374   123.948  1730.880   345.297    10.598   346.935     4.989      1213
     1.374   124.235  1830.620   348.267    10.325   349.962     5.231      1213
     1.374   124.523  1931.225   351.371    10.794   353.120     5.469      1213
     1.374   124.811  2032.753   354.619    11.293   356.419     5.703      1213
     1.374   125.098  2135.214   357.937    11.536   359.787     5.935      1213
     1.374   125.386  2238.638   361.233    11.461   363.134     6.165      1213
     1.374   125.674  2342.981   364.117    10.028   366.079     6.400      1213
     1.374   125.961  2448.028   366.362     7.803   368.405     6.645      1213
     1.374   126.249  2553.689   368.370     6.983   370.513     6.892      1213
     1.374   126.536  2659.937   370.461     7.269   372.703     7.137      1213
     1.374   126.824  2766.780   372.507     7.115   374.849     7.381      1213
     1.374   127.112  2874.271   374.997     8.657   377.433     7.615      1213
     1.374   127.399  2982.654   378.691    12.843   381.213     7.824      1213
     1.374   127.687  3091.799   380.248     5.416   382.884     8.075      1213
     1.374   127.974  3201.326   381.390     3.970   384.163     8.333      1213
     1.374   128.262  3311.182   382.527     3.953   385.437     8.591      1213
     1.374   128.550  3421.363   383.659     3.935   386.707     8.847      1213
     1.374   128.837  3531.870   384.797     3.957   387.982     9.103      1213
     1.374   129.125  3642.706   385.939     3.970   389.261     9.358      1213
     1.374   129.412  3753.871   387.081     3.970   390.540     9.612      1213
