"ZEIT[H]" "K1101" "K1077" "K1013" "K 936" "K 971" "K1107" "K5117" "K1134" "K1146" "K1153" "K1157"
 41407.021 124.153 123.869 123.580 123.450 123.504 124.213 124.363 124.563 124.781 124.886 124.970
 41407.042 124.153 123.870 123.581 123.450 123.504 124.213 124.363 124.563 124.781 124.887 124.970
 41407.062 124.154 123.870 123.580 123.450 123.504 124.214 124.364 124.564 124.783 124.889 124.972
 41407.083 124.156 123.871 123.581 123.450 123.504 124.216 124.367 124.568 124.787 124.894 124.978
 41407.104 124.160 123.874 123.582 123.450 123.505 124.221 124.373 124.574 124.795 124.902 124.986
 41407.125 124.167 123.879 123.584 123.450 123.506 124.228 124.381 124.584 124.806 124.914 124.999
 41407.146 124.174 123.884 123.587 123.450 123.507 124.236 124.389 124.593 124.816 124.925 125.010
 41407.167 124.178 123.887 123.588 123.450 123.508 124.240 124.393 124.597 124.820 124.929 125.014
 41407.187 124.177 123.886 123.588 123.450 123.508 124.238 124.391 124.594 124.816 124.924 125.009
 41407.208 124.171 123.882 123.586 123.450 123.507 124.232 124.384 124.586 124.807 124.914 124.999
 41407.229 124.163 123.876 123.583 123.450 123.506 124.224 124.375 124.575 124.794 124.900 124.984
 41407.250 124.152 123.869 123.580 123.450 123.504 124.212 124.361 124.559 124.776 124.880 124.963
 41407.271 124.139 123.860 123.576 123.450 123.502 124.198 124.346 124.542 124.755 124.859 124.940
 41407.292 124.128 123.852 123.573 123.450 123.500 124.187 124.333 124.528 124.740 124.843 124.924
 41407.312 124.121 123.847 123.571 123.450 123.499 124.180 124.325 124.520 124.731 124.833 124.914
 41407.333 124.117 123.845 123.570 123.450 123.499 124.176 124.321 124.515 124.725 124.828 124.908
 41407.354 124.115 123.843 123.569 123.450 123.498 124.173 124.318 124.511 124.721 124.823 124.903
 41407.375 124.112 123.842 123.569 123.450 123.498 124.171 124.315 124.509 124.718 124.820 124.900
 41407.396 124.113 123.842 123.569 123.450 123.498 124.171 124.316 124.510 124.719 124.822 124.902
 41407.417 124.117 123.845 123.570 123.450 123.498 124.175 124.321 124.516 124.727 124.830 124.911
 41407.437 124.125 123.850 123.572 123.450 123.500 124.184 124.330 124.527 124.740 124.844 124.926
 41407.458 124.135 123.857 123.575 123.450 123.501 124.194 124.342 124.540 124.756 124.861 124.944
 41407.479 124.147 123.865 123.579 123.450 123.503 124.207 124.357 124.557 124.775 124.881 124.965
 41407.500 124.160 123.874 123.582 123.450 123.505 124.220 124.372 124.574 124.795 124.903 124.987
 41407.521 124.171 123.882 123.586 123.450 123.507 124.232 124.385 124.589 124.811 124.920 125.005
 41407.542 124.177 123.887 123.588 123.450 123.508 124.239 124.392 124.596 124.820 124.928 125.014
 41407.562 124.178 123.887 123.588 123.450 123.508 124.240 124.393 124.597 124.820 124.928 125.013
 41407.583 124.175 123.885 123.587 123.450 123.508 124.236 124.389 124.592 124.814 124.922 125.007
 41407.604 124.170 123.881 123.585 123.450 123.507 124.231 124.383 124.586 124.806 124.914 124.998
 41407.625 124.165 123.878 123.584 123.450 123.506 124.226 124.377 124.579 124.799 124.906 124.990
 41407.646 124.161 123.875 123.582 123.450 123.505 124.221 124.372 124.573 124.792 124.899 124.983
 41407.667 124.157 123.872 123.581 123.450 123.505 124.217 124.368 124.568 124.787 124.893 124.976
 41407.687 124.153 123.870 123.580 123.450 123.504 124.213 124.363 124.563 124.780 124.886 124.969
 41407.708 124.149 123.867 123.579 123.450 123.503 124.209 124.359 124.557 124.774 124.879 124.962
 41407.729 124.144 123.864 123.578 123.450 123.503 124.204 124.353 124.551 124.766 124.871 124.953
 41407.750 124.138 123.859 123.576 123.450 123.502 124.198 124.345 124.542 124.756 124.860 124.941
 41407.771 124.132 123.855 123.574 123.450 123.501 124.191 124.339 124.535 124.748 124.852 124.933
 41407.792 124.130 123.854 123.573 123.450 123.500 124.190 124.337 124.534 124.747 124.851 124.933
 41407.812 124.133 123.856 123.574 123.450 123.501 124.193 124.341 124.538 124.753 124.857 124.939
 41407.833 124.139 123.860 123.576 123.450 123.502 124.198 124.347 124.545 124.761 124.866 124.948
 41407.854 124.144 123.864 123.578 123.450 123.503 124.204 124.353 124.552 124.769 124.875 124.958
 41407.875 124.150 123.867 123.580 123.450 123.503 124.210 124.360 124.559 124.777 124.883 124.967
 41407.896 124.154 123.871 123.581 123.450 123.504 124.215 124.365 124.566 124.784 124.891 124.974
 41407.917 124.158 123.873 123.582 123.450 123.505 124.219 124.369 124.570 124.790 124.896 124.980
 41407.937 124.160 123.875 123.583 123.450 123.505 124.221 124.372 124.574 124.793 124.900 124.984
 41407.958 124.162 123.876 123.583 123.450 123.505 124.223 124.374 124.576 124.796 124.903 124.987
 41407.979 124.164 123.877 123.583 123.450 123.506 124.224 124.376 124.578 124.798 124.905 124.989
 41408.000 124.164 123.877 123.584 123.450 123.506 124.225 124.377 124.579 124.799 124.906 124.991
 41408.021 124.164 123.877 123.584 123.450 123.506 124.225 124.377 124.579 124.799 124.906 124.990
 41408.042 124.163 123.876 123.583 123.450 123.506 124.224 124.375 124.576 124.796 124.902 124.986
 41408.062 124.159 123.874 123.582 123.450 123.505 124.220 124.371 124.571 124.790 124.896 124.979
 41408.083 124.154 123.870 123.581 123.450 123.504 124.214 124.364 124.564 124.781 124.887 124.970
 41408.104 124.148 123.866 123.579 123.450 123.503 124.208 124.357 124.555 124.771 124.876 124.959
 41408.125 124.142 123.862 123.577 123.450 123.502 124.202 124.350 124.548 124.763 124.868 124.950
 41408.146 124.139 123.860 123.576 123.450 123.502 124.199 124.347 124.545 124.760 124.864 124.947
 41408.167 124.140 123.860 123.576 123.450 123.502 124.199 124.348 124.546 124.762 124.867 124.949
 41408.187 124.143 123.862 123.577 123.450 123.502 124.203 124.352 124.551 124.767 124.873 124.956
 41408.208 124.148 123.866 123.579 123.450 123.503 124.208 124.358 124.557 124.774 124.880 124.964
 41408.229 124.152 123.869 123.580 123.450 123.504 124.213 124.363 124.563 124.781 124.888 124.971
 41408.250 124.156 123.872 123.581 123.450 123.504 124.216 124.367 124.567 124.786 124.892 124.976
 41408.271 124.157 123.872 123.582 123.450 123.505 124.217 124.367 124.567 124.786 124.892 124.975
 41408.292 124.153 123.870 123.581 123.450 123.504 124.213 124.363 124.562 124.779 124.885 124.967
 41408.312 124.146 123.865 123.579 123.450 123.503 124.206 124.354 124.552 124.767 124.871 124.953
 41408.333 124.136 123.858 123.575 123.450 123.502 124.195 124.342 124.537 124.750 124.854 124.935
 41408.354 124.124 123.849 123.572 123.450 123.500 124.182 124.328 124.522 124.732 124.835 124.915
 41408.375 124.113 123.842 123.569 123.450 123.498 124.171 124.316 124.508 124.717 124.819 124.898
 41408.396 124.106 123.837 123.567 123.450 123.497 124.163 124.307 124.499 124.707 124.808 124.887
 41408.417 124.101 123.834 123.566 123.450 123.496 124.158 124.301 124.493 124.699 124.800 124.879
 41408.437 124.097 123.832 123.565 123.450 123.496 124.154 124.297 124.487 124.693 124.794 124.872
 41408.458 124.094 123.829 123.564 123.450 123.495 124.151 124.293 124.483 124.688 124.788 124.866
 41408.479 124.090 123.827 123.563 123.450 123.495 124.147 124.288 124.478 124.682 124.781 124.859
 41408.500 124.085 123.824 123.562 123.450 123.494 124.142 124.282 124.471 124.674 124.773 124.850
 41408.521 124.080 123.820 123.560 123.450 123.494 124.136 124.276 124.464 124.666 124.764 124.841
 41408.542 124.075 123.817 123.559 123.450 123.493 124.132 124.271 124.459 124.660 124.758 124.835
 41408.562 124.073 123.816 123.558 123.450 123.493 124.129 124.268 124.455 124.656 124.754 124.831
 41408.583 124.071 123.815 123.558 123.450 123.492 124.127 124.266 124.453 124.653 124.751 124.828
 41408.604 124.070 123.814 123.558 123.450 123.492 124.126 124.265 124.452 124.652 124.750 124.827
 41408.625 124.071 123.815 123.558 123.450 123.492 124.128 124.267 124.454 124.656 124.754 124.831
 41408.646 124.076 123.818 123.559 123.450 123.493 124.132 124.272 124.461 124.663 124.762 124.840
 41408.667 124.082 123.822 123.561 123.450 123.494 124.138 124.279 124.468 124.671 124.771 124.848
 41408.687 124.086 123.825 123.562 123.450 123.495 124.143 124.284 124.473 124.677 124.777 124.855
 41408.708 124.089 123.826 123.563 123.450 123.495 124.146 124.287 124.477 124.681 124.781 124.859
 41408.729 124.091 123.828 123.563 123.450 123.495 124.148 124.289 124.479 124.684 124.784 124.862
 41408.750 124.092 123.829 123.564 123.450 123.495 124.149 124.291 124.482 124.687 124.787 124.866
 41408.771 124.095 123.830 123.564 123.450 123.496 124.152 124.294 124.486 124.692 124.792 124.871
 41408.792 124.099 123.833 123.565 123.450 123.496 124.157 124.300 124.491 124.699 124.800 124.879
 41408.812 124.105 123.837 123.567 123.450 123.497 124.163 124.306 124.499 124.708 124.810 124.890
 41408.833 124.112 123.841 123.569 123.450 123.498 124.170 124.314 124.508 124.718 124.821 124.901
 41408.854 124.118 123.846 123.571 123.450 123.499 124.177 124.322 124.517 124.728 124.831 124.912
 41408.875 124.123 123.850 123.572 123.450 123.500 124.182 124.328 124.524 124.735 124.839 124.920
 41408.896 124.126 123.851 123.573 123.450 123.500 124.185 124.331 124.527 124.739 124.842 124.923
 41408.917 124.127 123.852 123.573 123.450 123.500 124.185 124.332 124.527 124.740 124.843 124.924
 41408.937 124.126 123.851 123.573 123.450 123.500 124.185 124.332 124.527 124.740 124.843 124.924
 41408.958 124.126 123.851 123.573 123.450 123.500 124.185 124.332 124.527 124.740 124.843 124.924
 41408.979 124.127 123.852 123.573 123.450 123.500 124.186 124.333 124.529 124.741 124.845 124.926
 41409.000 124.130 123.853 123.574 123.450 123.500 124.189 124.336 124.532 124.746 124.850 124.932
 41409.021 124.134 123.856 123.575 123.450 123.501 124.193 124.341 124.538 124.752 124.857 124.939
 41409.042 124.136 123.858 123.576 123.450 123.502 124.196 124.344 124.541 124.755 124.860 124.942
 41409.062 124.136 123.858 123.576 123.450 123.502 124.196 124.344 124.540 124.754 124.859 124.940
 41409.083 124.134 123.857 123.575 123.450 123.501 124.193 124.340 124.537 124.750 124.854 124.935
 41409.104 124.129 123.853 123.574 123.450 123.501 124.188 124.334 124.529 124.741 124.844 124.925
 41409.125 124.121 123.848 123.571 123.450 123.499 124.180 124.325 124.518 124.728 124.830 124.911
 41409.146 124.112 123.842 123.569 123.450 123.498 124.170 124.315 124.507 124.716 124.817 124.897
 41409.167 124.106 123.838 123.567 123.450 123.497 124.164 124.308 124.500 124.708 124.810 124.889
 41409.187 124.104 123.836 123.566 123.450 123.497 124.161 124.305 124.497 124.705 124.806 124.885
 41409.208 124.102 123.835 123.566 123.450 123.497 124.160 124.303 124.495 124.702 124.803 124.883
 41409.229 124.101 123.835 123.566 123.450 123.497 124.159 124.302 124.493 124.700 124.801 124.880
 41409.250 124.099 123.833 123.565 123.450 123.496 124.156 124.299 124.489 124.695 124.796 124.874
 41409.271 124.094 123.830 123.564 123.450 123.496 124.151 124.293 124.483 124.687 124.787 124.865
 41409.292 124.088 123.826 123.562 123.450 123.495 124.144 124.285 124.474 124.677 124.776 124.854
 41409.312 124.081 123.821 123.560 123.450 123.494 124.137 124.277 124.464 124.666 124.765 124.842
 41409.333 124.073 123.816 123.558 123.450 123.493 124.129 124.268 124.455 124.655 124.753 124.829
 41409.354 124.067 123.811 123.557 123.450 123.492 124.122 124.260 124.446 124.646 124.743 124.819
 41409.375 124.064 123.809 123.556 123.450 123.491 124.119 124.257 124.444 124.643 124.741 124.817
 41409.396 124.066 123.811 123.556 123.450 123.492 124.122 124.260 124.447 124.647 124.745 124.822
 41409.417 124.070 123.814 123.558 123.450 123.492 124.126 124.265 124.453 124.654 124.753 124.829
 41409.437 124.075 123.817 123.559 123.450 123.493 124.131 124.270 124.458 124.660 124.758 124.835
 41409.458 124.077 123.819 123.560 123.450 123.493 124.133 124.273 124.461 124.662 124.761 124.838
 41409.479 124.077 123.818 123.560 123.450 123.493 124.133 124.272 124.460 124.661 124.759 124.836
 41409.500 124.073 123.816 123.559 123.450 123.493 124.129 124.268 124.455 124.656 124.753 124.830
 41409.521 124.068 123.813 123.558 123.450 123.492 124.124 124.262 124.448 124.648 124.745 124.821
 41409.542 124.063 123.809 123.556 123.450 123.491 124.119 124.256 124.441 124.640 124.737 124.812
 41409.562 124.058 123.806 123.555 123.450 123.491 124.113 124.250 124.435 124.632 124.729 124.804
 41409.583 124.053 123.803 123.554 123.450 123.490 124.108 124.244 124.428 124.625 124.721 124.796
 41409.604 124.049 123.800 123.552 123.450 123.490 124.104 124.239 124.423 124.619 124.714 124.789
 41409.625 124.047 123.798 123.552 123.450 123.489 124.101 124.237 124.420 124.616 124.712 124.786
 41409.646 124.047 123.799 123.552 123.450 123.489 124.102 124.238 124.421 124.617 124.713 124.788
 41409.667 124.050 123.801 123.553 123.450 123.490 124.105 124.241 124.425 124.622 124.718 124.793
 41409.687 124.053 123.803 123.554 123.450 123.490 124.109 124.245 124.430 124.627 124.724 124.799
 41409.708 124.057 123.806 123.555 123.450 123.491 124.112 124.249 124.435 124.633 124.730 124.806
 41409.729 124.061 123.808 123.556 123.450 123.491 124.116 124.253 124.439 124.638 124.735 124.811
 41409.750 124.064 123.810 123.557 123.450 123.492 124.119 124.257 124.444 124.643 124.741 124.817
 41409.771 124.067 123.812 123.557 123.450 123.492 124.123 124.262 124.449 124.649 124.747 124.824
 41409.792 124.072 123.816 123.559 123.450 123.493 124.129 124.268 124.456 124.657 124.756 124.833
 41409.812 124.079 123.820 123.560 123.450 123.493 124.135 124.275 124.464 124.668 124.767 124.845
 41409.833 124.086 123.825 123.562 123.450 123.494 124.143 124.284 124.474 124.678 124.778 124.857
 41409.854 124.092 123.829 123.564 123.450 123.495 124.150 124.291 124.482 124.688 124.789 124.867
 41409.875 124.097 123.832 123.565 123.450 123.496 124.154 124.296 124.487 124.693 124.794 124.873
 41409.896 124.097 123.832 123.565 123.450 123.496 124.155 124.297 124.488 124.694 124.794 124.873
 41409.917 124.096 123.831 123.565 123.450 123.496 124.153 124.295 124.486 124.691 124.791 124.870
 41409.937 124.094 123.830 123.564 123.450 123.495 124.151 124.293 124.483 124.688 124.789 124.867
 41409.958 124.092 123.829 123.564 123.450 123.495 124.149 124.291 124.481 124.686 124.786 124.865
 41409.979 124.092 123.828 123.563 123.450 123.495 124.149 124.291 124.482 124.687 124.787 124.866
 41410.000 124.095 123.830 123.564 123.450 123.496 124.153 124.295 124.487 124.694 124.794 124.874
 41410.021 124.102 123.835 123.566 123.450 123.496 124.159 124.303 124.495 124.703 124.805 124.884
 41410.042 124.106 123.838 123.568 123.450 123.497 124.164 124.308 124.501 124.709 124.810 124.890
 41410.062 124.107 123.839 123.568 123.450 123.498 124.165 124.308 124.501 124.708 124.810 124.889
 41410.083 124.104 123.837 123.567 123.450 123.497 124.161 124.304 124.496 124.702 124.803 124.882
 41410.104 124.096 123.831 123.565 123.450 123.496 124.153 124.295 124.485 124.689 124.788 124.866
 41410.125 124.083 123.823 123.561 123.450 123.494 124.139 124.279 124.466 124.667 124.765 124.841
 41410.146 124.065 123.811 123.556 123.450 123.492 124.121 124.258 124.442 124.639 124.735 124.810
 41410.167 124.046 123.798 123.551 123.450 123.489 124.100 124.234 124.416 124.609 124.703 124.776
 41410.187 124.026 123.784 123.546 123.450 123.487 124.079 124.210 124.389 124.578 124.670 124.741
 41410.208 124.005 123.771 123.541 123.450 123.484 124.057 124.186 124.361 124.545 124.635 124.705
 41410.229 123.984 123.757 123.536 123.450 123.482 124.034 124.160 124.332 124.512 124.600 124.668
 41410.250 123.963 123.744 123.532 123.450 123.480 124.012 124.136 124.304 124.480 124.566 124.633
 41410.271 123.947 123.734 123.528 123.450 123.478 123.995 124.117 124.284 124.458 124.544 124.610
 41410.292 123.941 123.730 123.527 123.450 123.477 123.990 124.111 124.279 124.453 124.539 124.606
 41410.312 123.947 123.734 123.529 123.450 123.478 123.996 124.118 124.287 124.464 124.551 124.618
 41410.333 123.959 123.743 123.532 123.450 123.480 124.008 124.132 124.302 124.481 124.569 124.638
 41410.354 123.972 123.752 123.536 123.450 123.481 124.023 124.148 124.321 124.503 124.593 124.662
 41410.375 123.989 123.762 123.540 123.450 123.483 124.041 124.169 124.345 124.531 124.622 124.694
 41410.396 124.008 123.775 123.544 123.450 123.485 124.061 124.192 124.371 124.561 124.654 124.727
 41410.417 124.026 123.786 123.548 123.450 123.487 124.079 124.212 124.393 124.586 124.680 124.754
 41410.437 124.038 123.794 123.551 123.450 123.489 124.093 124.227 124.409 124.604 124.699 124.774
 41410.458 124.047 123.799 123.553 123.450 123.490 124.101 124.236 124.420 124.616 124.712 124.787
 41410.479 124.052 123.802 123.554 123.450 123.490 124.106 124.242 124.426 124.623 124.719 124.794
 41410.500 124.052 123.803 123.554 123.450 123.490 124.107 124.243 124.426 124.623 124.718 124.793
 41410.521 124.049 123.800 123.553 123.450 123.490 124.103 124.238 124.421 124.616 124.712 124.786
 41410.542 124.044 123.797 123.551 123.450 123.489 124.098 124.233 124.415 124.610 124.705 124.779
 41410.562 124.040 123.794 123.550 123.450 123.489 124.094 124.228 124.411 124.604 124.699 124.773
 41410.583 124.037 123.792 123.550 123.450 123.488 124.091 124.225 124.407 124.600 124.695 124.768
 41410.604 124.035 123.791 123.549 123.450 123.488 124.089 124.223 124.405 124.598 124.693 124.767
 41410.625 124.037 123.792 123.549 123.450 123.488 124.091 124.225 124.408 124.602 124.697 124.771
 41410.646 124.042 123.795 123.551 123.450 123.489 124.096 124.231 124.414 124.610 124.705 124.780
 41410.667 124.046 123.799 123.552 123.450 123.489 124.101 124.236 124.420 124.615 124.711 124.786
 41410.687 124.048 123.800 123.553 123.450 123.490 124.102 124.238 124.421 124.616 124.712 124.786
 41410.708 124.046 123.798 123.552 123.450 123.489 124.100 124.235 124.417 124.612 124.707 124.782
 41410.729 124.041 123.795 123.551 123.450 123.489 124.095 124.229 124.410 124.604 124.698 124.772
 41410.750 124.033 123.790 123.549 123.450 123.488 124.087 124.220 124.401 124.592 124.686 124.759
 41410.771 124.026 123.785 123.547 123.450 123.487 124.080 124.212 124.392 124.583 124.676 124.749
 41410.792 124.023 123.783 123.546 123.450 123.486 124.077 124.209 124.389 124.580 124.674 124.746
 41410.812 124.025 123.784 123.547 123.450 123.487 124.078 124.211 124.391 124.583 124.677 124.750
 41410.833 124.029 123.787 123.548 123.450 123.487 124.082 124.215 124.396 124.589 124.683 124.757
 41410.854 124.033 123.790 123.549 123.450 123.488 124.087 124.221 124.402 124.596 124.690 124.764
 41410.875 124.038 123.793 123.550 123.450 123.488 124.092 124.227 124.409 124.603 124.699 124.773
 41410.896 124.043 123.796 123.551 123.450 123.489 124.097 124.232 124.415 124.610 124.706 124.780
 41410.917 124.046 123.798 123.552 123.450 123.489 124.100 124.236 124.419 124.614 124.710 124.785
 41410.937 124.047 123.799 123.552 123.450 123.490 124.101 124.237 124.420 124.615 124.711 124.785
 41410.958 124.046 123.798 123.552 123.450 123.489 124.101 124.236 124.419 124.614 124.709 124.784
 41410.979 124.045 123.798 123.552 123.450 123.489 124.100 124.235 124.418 124.613 124.709 124.783
 41411.000 124.046 123.798 123.552 123.450 123.489 124.101 124.236 124.420 124.616 124.712 124.787
 41411.021 124.049 123.800 123.553 123.450 123.490 124.104 124.240 124.424 124.620 124.716 124.791
 41411.042 124.050 123.801 123.553 123.450 123.490 124.105 124.240 124.424 124.620 124.716 124.790
 41411.062 124.046 123.799 123.552 123.450 123.490 124.101 124.236 124.418 124.612 124.707 124.781
 41411.083 124.038 123.793 123.550 123.450 123.488 124.092 124.225 124.406 124.599 124.692 124.766
 41411.104 124.027 123.786 123.547 123.450 123.487 124.080 124.213 124.392 124.582 124.675 124.747
 41411.125 124.016 123.778 123.544 123.450 123.486 124.068 124.199 124.377 124.564 124.656 124.728
 41411.146 124.006 123.772 123.542 123.450 123.484 124.058 124.188 124.365 124.551 124.642 124.714
 41411.167 124.001 123.769 123.541 123.450 123.484 124.053 124.183 124.359 124.546 124.637 124.708
 41411.187 124.001 123.769 123.541 123.450 123.484 124.054 124.183 124.360 124.547 124.638 124.710
 41411.208 124.004 123.771 123.542 123.450 123.484 124.057 124.187 124.364 124.551 124.643 124.715
 41411.229 124.008 123.774 123.543 123.450 123.485 124.061 124.191 124.368 124.556 124.649 124.720
 41411.250 124.011 123.776 123.544 123.450 123.485 124.064 124.194 124.372 124.560 124.653 124.725
 41411.271 124.013 123.777 123.544 123.450 123.486 124.066 124.197 124.375 124.564 124.657 124.729
 41411.292 124.016 123.779 123.545 123.450 123.486 124.069 124.201 124.380 124.569 124.663 124.735
 41411.312 124.020 123.782 123.546 123.450 123.486 124.074 124.205 124.385 124.576 124.669 124.742
 41411.333 124.025 123.785 123.547 123.450 123.487 124.078 124.211 124.391 124.582 124.676 124.749
 41411.354 124.030 123.788 123.548 123.450 123.487 124.084 124.217 124.399 124.592 124.686 124.760
 41411.375 124.039 123.794 123.550 123.450 123.488 124.094 124.229 124.412 124.608 124.704 124.779
 41411.396 124.053 123.803 123.554 123.450 123.490 124.108 124.245 124.431 124.629 124.727 124.803
 41411.417 124.067 123.812 123.558 123.450 123.492 124.123 124.261 124.449 124.650 124.748 124.825
 41411.437 124.077 123.820 123.561 123.450 123.494 124.134 124.274 124.462 124.665 124.764 124.842
 41411.458 124.084 123.824 123.562 123.450 123.494 124.141 124.281 124.470 124.674 124.773 124.851
 41411.479 124.086 123.825 123.563 123.450 123.495 124.143 124.284 124.473 124.676 124.775 124.853
 41411.500 124.085 123.824 123.562 123.450 123.494 124.141 124.282 124.471 124.674 124.773 124.850
 41411.521 124.082 123.822 123.561 123.450 123.494 124.138 124.279 124.467 124.670 124.768 124.846
 41411.542 124.080 123.820 123.560 123.450 123.494 124.136 124.276 124.464 124.667 124.765 124.843
 41411.562 124.078 123.819 123.560 123.450 123.493 124.135 124.274 124.462 124.664 124.763 124.840
 41411.583 124.077 123.819 123.560 123.450 123.493 124.133 124.273 124.461 124.663 124.761 124.838
 41411.604 124.076 123.818 123.559 123.450 123.493 124.133 124.272 124.460 124.662 124.761 124.838
 41411.625 124.077 123.819 123.560 123.450 123.493 124.134 124.274 124.462 124.664 124.763 124.841
 41411.646 124.080 123.820 123.560 123.450 123.494 124.136 124.276 124.465 124.667 124.766 124.844
 41411.667 124.079 123.820 123.561 123.450 123.494 124.136 124.275 124.463 124.665 124.764 124.841
 41411.687 124.075 123.817 123.559 123.450 123.493 124.131 124.270 124.456 124.657 124.755 124.831
 41411.708 124.067 123.812 123.557 123.450 123.492 124.122 124.260 124.445 124.644 124.741 124.816
 41411.729 124.057 123.805 123.554 123.450 123.491 124.113 124.249 124.433 124.630 124.726 124.801
 41411.750 124.049 123.800 123.552 123.450 123.490 124.104 124.239 124.422 124.617 124.713 124.787
 41411.771 124.043 123.796 123.551 123.450 123.489 124.098 124.233 124.416 124.610 124.706 124.780
 41411.792 124.043 123.796 123.551 123.450 123.489 124.097 124.232 124.415 124.611 124.706 124.781
 41411.812 124.046 123.798 123.552 123.450 123.489 124.101 124.236 124.420 124.616 124.712 124.787
 41411.833 124.051 123.802 123.553 123.450 123.490 124.106 124.242 124.427 124.624 124.720 124.796
 41411.854 124.056 123.805 123.555 123.450 123.491 124.111 124.248 124.433 124.631 124.728 124.804
 41411.875 124.060 123.807 123.556 123.450 123.491 124.115 124.252 124.438 124.636 124.733 124.809
 41411.896 124.061 123.808 123.556 123.450 123.491 124.116 124.253 124.439 124.637 124.734 124.810
 41411.917 124.060 123.807 123.555 123.450 123.491 124.115 124.252 124.437 124.635 124.732 124.807
 41411.937 124.057 123.806 123.555 123.450 123.491 124.113 124.249 124.434 124.632 124.728 124.803
 41411.958 124.055 123.804 123.554 123.450 123.490 124.110 124.246 124.430 124.627 124.724 124.799
 41411.979 124.053 123.802 123.553 123.450 123.490 124.108 124.244 124.428 124.625 124.721 124.796
 41412.000 124.053 123.803 123.554 123.450 123.490 124.108 124.245 124.430 124.627 124.724 124.800
 41412.021 124.057 123.805 123.555 123.450 123.491 124.113 124.250 124.436 124.634 124.731 124.807
 41412.042 124.062 123.809 123.556 123.450 123.491 124.118 124.256 124.442 124.641 124.739 124.815
 41412.062 124.066 123.812 123.557 123.450 123.492 124.122 124.260 124.447 124.646 124.744 124.821
 41412.083 124.068 123.813 123.558 123.450 123.492 124.124 124.262 124.449 124.649 124.747 124.823
 41412.104 124.068 123.813 123.558 123.450 123.492 124.124 124.262 124.449 124.649 124.746 124.823
 41412.125 124.067 123.812 123.557 123.450 123.492 124.123 124.261 124.447 124.647 124.745 124.821
 41412.146 124.066 123.811 123.557 123.450 123.492 124.121 124.259 124.445 124.644 124.742 124.818
 41412.167 124.064 123.810 123.556 123.450 123.492 124.119 124.257 124.443 124.641 124.739 124.814
 41412.187 124.062 123.808 123.556 123.450 123.491 124.117 124.254 124.440 124.638 124.735 124.811
 41412.208 124.060 123.807 123.555 123.450 123.491 124.115 124.252 124.437 124.635 124.732 124.808
 41412.229 124.058 123.806 123.555 123.450 123.491 124.113 124.250 124.434 124.632 124.729 124.804
 41412.250 124.055 123.804 123.554 123.450 123.490 124.110 124.246 124.430 124.627 124.723 124.798
 41412.271 124.051 123.801 123.553 123.450 123.490 124.106 124.241 124.425 124.620 124.716 124.791
 41412.292 124.046 123.798 123.552 123.450 123.489 124.100 124.235 124.418 124.612 124.707 124.782
 41412.312 124.040 123.794 123.550 123.450 123.489 124.094 124.228 124.410 124.603 124.698 124.772
 41412.333 124.034 123.790 123.549 123.450 123.488 124.088 124.221 124.402 124.594 124.688 124.761
 41412.354 124.027 123.786 123.547 123.450 123.487 124.081 124.213 124.393 124.584 124.677 124.750
 41412.375 124.021 123.782 123.546 123.450 123.486 124.074 124.206 124.384 124.574 124.667 124.739
 41412.396 124.016 123.778 123.544 123.450 123.486 124.069 124.200 124.378 124.567 124.659 124.731
 41412.417 124.014 123.777 123.544 123.450 123.485 124.067 124.198 124.377 124.566 124.658 124.731
 41412.437 124.016 123.779 123.545 123.450 123.486 124.069 124.200 124.379 124.569 124.662 124.735
 41412.458 124.020 123.781 123.546 123.450 123.486 124.073 124.205 124.384 124.575 124.668 124.741
 41412.479 124.024 123.784 123.547 123.450 123.487 124.078 124.210 124.390 124.582 124.676 124.749
 41412.500 124.030 123.788 123.548 123.450 123.487 124.084 124.218 124.399 124.592 124.687 124.761
 41412.521 124.038 123.793 123.550 123.450 123.488 124.092 124.227 124.409 124.604 124.699 124.774
 41412.542 124.045 123.798 123.552 123.450 123.489 124.099 124.234 124.418 124.614 124.709 124.784
 41412.562 124.049 123.801 123.553 123.450 123.490 124.104 124.240 124.424 124.620 124.716 124.791
 41412.583 124.052 123.802 123.554 123.450 123.490 124.107 124.243 124.427 124.624 124.720 124.795
 41412.604 124.054 123.803 123.554 123.450 123.490 124.109 124.245 124.430 124.627 124.723 124.799
 41412.625 124.056 123.805 123.555 123.450 123.491 124.112 124.249 124.434 124.632 124.729 124.805
 41412.646 124.061 123.808 123.556 123.450 123.491 124.117 124.254 124.440 124.639 124.737 124.813
 41412.667 124.066 123.811 123.557 123.450 123.492 124.122 124.260 124.446 124.646 124.744 124.821
 41412.687 124.069 123.814 123.558 123.450 123.492 124.125 124.263 124.450 124.651 124.749 124.825
 41412.708 124.070 123.814 123.558 123.450 123.493 124.126 124.265 124.452 124.652 124.750 124.827
 41412.729 124.070 123.814 123.558 123.450 123.492 124.126 124.264 124.451 124.651 124.749 124.826
 41412.750 124.069 123.813 123.558 123.450 123.492 124.124 124.263 124.449 124.649 124.746 124.823
 41412.771 124.066 123.812 123.557 123.450 123.492 124.122 124.260 124.446 124.646 124.743 124.819
 41412.792 124.064 123.810 123.556 123.450 123.492 124.120 124.258 124.444 124.643 124.740 124.816
