"TXLS","QGAM","QKRA","QWEH","QMIN","D-E"
41409.875,1643.07,1500,143.07,15,128.07
41409.896,1636.41,1500,136.41,15,121.41
41409.917,1630.68,1500,130.68,15,115.68
41409.937,1627.88,1500,127.88,15,112.88
41409.958,1626.76,1500,126.76,15,111.76
41409.979,1625.78,1500,125.78,15,110.78
41410,1640.01,1500,140.01,15,125.01
41410.021,1658.09,1500,158.09,15,143.09
41410.042,1659.34,1500,159.34,15,144.34
41410.062,1652.36,1500,152.36,15,137.36
41410.083,1642.13,1500,142.13,15,127.13
41410.104,1625.67,1500,125.67,15,110.67
41410.125,1593.06,1500,93.06,15,78.06
41410.146,1558.51,1500,58.51,15,43.51
41410.167,1529.31,1500,29.31,15,14.31
41410.187,1496.58,1481.58,15,15,-18.42
41410.208,1463.69,1448.69,15,15,-51.31
41410.229,1431.26,1416.26,15,15,-83.74
41410.25,1396.67,1381.67,15,15,-118.33
41410.271,1379.01,1364.01,15,15,-135.99
41410.292,1393.83,1378.83,15,15,-121.17
41410.312,1420.87,1405.87,15,15,-94.13
41410.333,1444.06,1429.06,15,15,-70.94
41410.354,1463.48,1448.48,15,15,-51.52
41410.375,1496.78,1481.78,15,15,-18.22
41410.396,1533.72,1500,33.72,15,18.72
41410.417,1552.52,1500,52.52,15,37.52
41410.437,1562.02,1500,62.02,15,47.02
41410.458,1569.1,1500,69.1,15,54.1
41410.479,1575.33,1500,75.33,15,60.33
41410.5,1567.15,1500,67.15,15,52.15
41410.521,1552.66,1500,52.66,15,37.66
41410.542,1547.3,1500,47.3,15,32.3
41410.562,1543.87,1500,43.87,15,28.87
41410.583,1540.29,1500,40.29,15,25.29
41410.604,1536.88,1500,36.88,15,21.88
41410.625,1546.82,1500,46.82,15,31.82
41410.646,1562.22,1500,62.22,15,47.22
41410.667,1565.95,1500,65.95,15,50.95
41410.687,1561.59,1500,61.59,15,46.59
41410.708,1552.15,1500,52.15,15,37.15
41410.729,1542.45,1500,42.45,15,27.45
41410.75,1525.04,1500,25.04,15,10.04
41410.771,1513.58,1498.58,15,15,-1.4200000000001
41410.792,1519.7,1500,19.7,15,4.7
41410.812,1528.95,1500,28.95,15,13.95
41410.833,1537.2,1500,37.2,15,22.2
41410.854,1543.82,1500,43.82,15,28.82
41410.875,1552.98,1500,52.98,15,37.98
41410.896,1560.91,1500,60.91,15,45.91
41410.917,1561.86,1500,61.86,15,46.86
41410.937,1559.22,1500,59.22,15,44.22
41410.958,1555.86,1500,55.86,15,40.86
41410.979,1552.84,1500,52.84,15,37.84
41411,1560.58,1500,60.58,15,45.58
41411.021,1570.67,1500,70.67,15,55.67
41411.042,1566.88,1500,66.88,15,51.88
41411.062,1551.4,1500,51.4,15,36.4
41411.083,1530.66,1500,30.66,15,15.66
41411.104,1513.46,1498.46,15,15,-1.54
41411.125,1493.01,1478.01,15,15,-21.99
41411.146,1480.08,1465.08,15,15,-34.92
41411.167,1484.73,1469.73,15,15,-30.27
41411.187,1492.91,1477.91,15,15,-22.09
41411.208,1500.09,1485.09,15,15,-14.91
41411.229,1506.66,1491.66,15,15,-8.3399999999999
41411.25,1508.78,1493.78,15,15,-6.22
41411.271,1510.99,1495.99,15,15,-4.01
41411.292,1517.89,1500,17.89,15,2.8900000000001
41411.312,1525.47,1500,25.47,15,10.47
41411.333,1532.62,1500,32.62,15,17.62
41411.354,1538.83,1500,38.83,15,23.83
