"ZEIT[H]" "K1101" "K1077" "K1013" "K 936" "K 971" "K1107" "K5117" "K1134" "K1146" "K1153" "K1157" "K1166" "K1190"
 41407.833 1706.20 1704.46 1701.51  907.78 1700.56 1706.72 1707.65 1709.26 1710.55 1711.37 1711.88 1713.25  220.12
 41407.854 1714.64 1712.89 1710.08  916.42 1709.19 1715.16 1716.12 1717.78 1719.10 1719.96 1720.48 1721.89  228.92
 41407.875 1723.11 1721.52 1719.00  925.45 1718.20 1723.60 1724.48 1726.01 1727.23 1728.01 1728.50 1729.79  236.19
 41407.896 1730.65 1729.33 1727.24  933.86 1726.57 1731.05 1731.78 1733.04 1734.04 1734.68 1735.07 1736.11  241.24
 41407.917 1736.63 1735.65 1734.11  940.96 1733.61 1736.93 1737.47 1738.40 1739.14 1739.60 1739.89 1740.65  244.36
 41407.937 1740.98 1740.31 1739.28  946.35 1738.96 1741.18 1741.56 1742.19 1742.71 1743.03 1743.23 1743.75  246.31
 41407.958 1744.05 1743.59 1742.90  950.12 1742.69 1744.19 1744.45 1744.90 1745.27 1745.50 1745.65 1746.03  247.89
 41407.979 1746.34 1745.98 1745.44  952.73 1745.27 1746.45 1746.66 1747.02 1747.31 1747.50 1747.62 1747.93  249.47
 41408.000 1747.97 1747.73 1747.35  954.68 1747.22 1748.04 1748.16 1748.37 1748.54 1748.63 1748.69 1748.85  249.59
 41408.021 1748.16 1748.26 1748.38  955.90 1748.39 1748.12 1748.04 1747.87 1747.71 1747.60 1747.53 1747.31  246.09
 41408.042 1745.83 1746.50 1747.52  955.41 1747.83 1745.62 1745.22 1744.49 1743.87 1743.46 1743.20 1742.48  238.70
 41408.062 1740.48 1741.77 1743.82  952.15 1744.47 1740.09 1739.36 1738.06 1736.98 1736.28 1735.83 1734.63  228.46
 41408.083 1732.48 1734.24 1737.09  945.75 1737.99 1731.95 1730.96 1729.24 1727.82 1726.91 1726.33 1724.80  217.01
 41408.104 1722.98 1724.92 1728.06  936.88 1729.07 1722.40 1721.33 1719.49 1718.00 1717.04 1716.45 1714.87  206.96
 41408.125 1714.20 1715.79 1718.41  927.04 1719.27 1713.74 1712.88 1711.45 1710.33 1709.62 1709.19 1708.05  202.55
 41408.146 1709.07 1709.70 1710.80  918.81 1711.18 1708.89 1708.59 1708.13 1707.82 1707.66 1707.56 1707.35  206.61
 41408.167 1709.28 1708.76 1707.91  915.10 1707.66 1709.45 1709.76 1710.36 1710.88 1711.25 1711.48 1712.13  215.68
 41408.187 1713.85 1712.58 1710.42  917.03 1709.73 1714.23 1714.93 1716.13 1717.12 1717.76 1718.16 1719.24  224.76
 41408.208 1720.58 1719.07 1716.59  923.05 1715.79 1721.02 1721.84 1723.25 1724.38 1725.11 1725.56 1726.76  232.79
 41408.229 1727.72 1726.32 1724.07  930.62 1723.34 1728.14 1728.90 1730.20 1731.25 1731.91 1732.32 1733.41  238.80
 41408.250 1733.28 1732.40 1730.94  937.78 1730.44 1733.54 1733.99 1734.73 1735.30 1735.64 1735.85 1736.38  238.83
 41408.271 1734.59 1734.75 1734.90  942.40 1734.92 1734.52 1734.39 1734.07 1733.76 1733.53 1733.37 1732.93  230.32
 41408.292 1729.86 1731.31 1733.58  941.97 1734.29 1729.42 1728.57 1727.05 1725.76 1724.91 1724.36 1722.88  215.10
 41408.312 1719.16 1721.75 1725.92  935.11 1727.23 1718.38 1716.92 1714.35 1712.22 1710.84 1709.97 1707.63  195.67
 41408.333 1703.66 1707.07 1712.52  922.25 1714.24 1702.63 1700.72 1697.39 1694.67 1692.91 1691.81 1688.86  174.04
 41408.354 1685.76 1689.40 1695.19  905.09 1697.03 1684.67 1682.67 1679.22 1676.46 1674.69 1673.59 1670.67  156.26
 41408.375 1669.43 1672.40 1677.13  886.62 1678.64 1668.54 1666.93 1664.20 1662.07 1660.72 1659.90 1657.73  147.28
 41408.396 1657.37 1659.30 1662.20  870.88 1663.09 1656.78 1655.71 1653.90 1652.48 1651.59 1651.05 1649.62  142.82
 41408.417 1648.89 1650.16 1651.88  860.04 1652.38 1648.49 1647.74 1646.45 1645.41 1644.75 1644.34 1643.24  137.97
